tenor,usd_deposit_pct,cny_deposit_pct,usdcnh_forward
1W,4.463,1.998,7.2571
2W,4.480,1.998,7.2536
3W,4.475,1.999,7.2502
1M,4.464,1.999,7.2454
2M,4.514,2.001,7.2302
3M,4.561,1.995,7.2131
4M,4.564,1.947,7.1980
5M,4.586,1.915,7.1808
6M,4.618,1.894,7.1626
9M,4.654,1.827,7.1106
1Y,4.654,1.779,7.0600
18M,4.492,1.713,6.9758
2Y,4.348,1.683,6.9040
3Y,4.217,1.655,6.7646
4Y,4.152,1.662,6.6400
5Y,4.067,1.681,6.5405
6Y,4.587,1.720,6.2807
7Y,4.810,1.752,6.0969
10Y,4.359,1.916,6.0249
